phase,epoch,train_loss,train_acc,val_loss,val_acc
Phase 1,1,1.8677,0.3479,1.5526,0.4678
Phase 1,2,1.5736,0.4479,1.3731,0.5303
Phase 1,3,1.4551,0.4843,1.3262,0.5082
Phase 1,4,1.4007,0.5058,1.1734,0.5778
Phase 1,5,1.3083,0.5367,1.1814,0.5783
Phase 1,6,1.2907,0.538,1.1106,0.6033
Phase 1,7,1.2636,0.5533,1.0447,0.6297
Phase 1,8,1.213,0.567,0.9735,0.6508
Phase 1,9,1.1569,0.5839,0.9643,0.6532
Phase 1,10,1.1551,0.5877,0.9153,0.6662
Phase 1,11,1.1228,0.5983,0.9379,0.6623
Phase 1,12,1.0975,0.6105,0.8597,0.7166
Phase 1,13,1.0627,0.6198,0.8738,0.6873
Phase 1,14,1.0611,0.6199,0.8488,0.7075
Phase 1,15,1.0484,0.6219,0.8376,0.7003
Phase 2,1,0.9568,0.6608,0.6606,0.769
Phase 2,2,0.8737,0.6877,0.6272,0.7781
Phase 2,3,0.7726,0.7183,0.5604,0.7978
Phase 2,4,0.7298,0.7384,0.5077,0.8232
Phase 2,5,0.6907,0.7552,0.4912,0.8276
Phase 2,6,0.6257,0.7685,0.4824,0.8266
Phase 2,7,0.5799,0.7922,0.4312,0.8492
Phase 2,8,0.5648,0.7965,0.4402,0.8429
Phase 2,9,0.5462,0.8046,0.3846,0.8602
Phase 2,10,0.5127,0.8166,0.3828,0.8626
Phase 2,11,0.4845,0.8209,0.3716,0.865
Phase 2,12,0.4521,0.8356,0.349,0.8838
Phase 2,13,0.4442,0.8345,0.3275,0.89
Phase 2,14,0.4277,0.8432,0.3278,0.8857
Phase 2,15,0.4056,0.8533,0.3065,0.8963
Phase 2,16,0.3892,0.8596,0.3096,0.8929
Phase 2,17,0.3752,0.8621,0.2956,0.8977
Phase 2,18,0.3617,0.8655,0.2883,0.9025
Phase 2,19,0.3311,0.8781,0.2689,0.9135
Phase 2,20,0.3357,0.8738,0.2685,0.9155
Phase 2,21,0.3213,0.8805,0.2641,0.9097
Phase 2,22,0.3046,0.8862,0.2471,0.9131
Phase 2,23,0.2862,0.8921,0.2458,0.9203
Phase 2,24,0.2752,0.8981,0.2308,0.9304
Phase 2,25,0.2724,0.8969,0.2298,0.926
Phase 2,26,0.2589,0.9017,0.2197,0.9304
Phase 2,27,0.2515,0.9064,0.2112,0.926
Phase 2,28,0.2404,0.9068,0.2041,0.9299
Phase 2,29,0.234,0.9132,0.2024,0.9251
Phase 2,30,0.2306,0.9136,0.1861,0.9376
Phase 2,31,0.232,0.9097,0.1926,0.9342
Phase 2,32,0.219,0.9176,0.1906,0.9376
Phase 2,33,0.2231,0.9163,0.1867,0.9347
Phase 2,34,0.2053,0.9218,0.184,0.94
Phase 2,35,0.2071,0.9236,0.193,0.9318
Phase 2,36,0.2,0.9223,0.1809,0.938
Phase 2,37,0.2093,0.9219,0.1881,0.9385
Phase 2,38,0.2116,0.9222,0.1792,0.9385
Phase 2,39,0.1972,0.927,0.1829,0.9395
Phase 2,40,0.2048,0.924,0.1792,0.9395
Phase 2,41,0.2011,0.9247,0.1823,0.9395
